trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
No Need to Come Back,Hans Zimmer,1744983,german soundtrack,0.0835,0.0264,9.0,-30.407,1.0,0.0398,0.707,0.967,0.111,0.0282,73.235,audio_features,31MXzK5KypH22SbSH7udKf,spotify:track:31MXzK5KypH22SbSH7udKf,https://api.spotify.com/v1/tracks/31MXzK5KypH22SbSH7udKf,https://api.spotify.com/v1/audio-analysis/31MXzK5KypH22SbSH7udKf,272910.0,4.0
No One Compares To You,Jack & Jack,2285386,pop,0.7,0.748,1.0,-6.044,1.0,0.0434,0.127,0.0,0.0941,0.631,111.939,audio_features,4cZ3UsiKd1kUQIaq4BFIj2,spotify:track:4cZ3UsiKd1kUQIaq4BFIj2,https://api.spotify.com/v1/tracks/4cZ3UsiKd1kUQIaq4BFIj2,https://api.spotify.com/v1/audio-analysis/4cZ3UsiKd1kUQIaq4BFIj2,182920.0,4.0
No Other Way,SHAED,1838624,electropop,0.735,0.686,8.0,-4.717,0.0,0.0366,0.0477,0.0052,0.298,0.965,113.967,audio_features,2NLCLJstWwUxjEc0sgVPtv,spotify:track:2NLCLJstWwUxjEc0sgVPtv,https://api.spotify.com/v1/tracks/2NLCLJstWwUxjEc0sgVPtv,https://api.spotify.com/v1/audio-analysis/2NLCLJstWwUxjEc0sgVPtv,147964.0,4.0
No Promises (feat. Demi Lovato),Cheat Codes,530339,edm,0.739,0.619,10.0,-6.669,1.0,0.162,0.0572,0.0,0.105,0.58,112.961,audio_features,5lNuqFVMca4vPupY10cH0J,spotify:track:5lNuqFVMca4vPupY10cH0J,https://api.spotify.com/v1/tracks/5lNuqFVMca4vPupY10cH0J,https://api.spotify.com/v1/audio-analysis/5lNuqFVMca4vPupY10cH0J,222787.0,4.0
No Scrubs,Unlike Pluto,1796821,,0.582,0.778,1.0,-4.831,0.0,0.146,0.162,0.0,0.315,0.314,74.978,audio_features,5diufoHZPKvTBMut2NLzbf,spotify:track:5diufoHZPKvTBMut2NLzbf,https://api.spotify.com/v1/tracks/5diufoHZPKvTBMut2NLzbf,https://api.spotify.com/v1/audio-analysis/5diufoHZPKvTBMut2NLzbf,201600.0,4.0
No Scrubs,Unlike Pluto feat. Joanna Jones,3387101,,,,,,,,,,,,,,,,,,,
No Shame,5 Seconds of Summer,1089473,boy band,0.576,0.807,7.0,-3.019,1.0,0.0374,0.0185,2.4e-06,0.0963,0.479,90.932,audio_features,5EbidH3lGB30WuDsoR4km6,spotify:track:5EbidH3lGB30WuDsoR4km6,https://api.spotify.com/v1/tracks/5EbidH3lGB30WuDsoR4km6,https://api.spotify.com/v1/audio-analysis/5EbidH3lGB30WuDsoR4km6,192737.0,4.0
No Stress,CMD/CTRL,225932,,0.864,0.757,0.0,-7.16,1.0,0.0376,0.000525,0.000323,0.196,0.779,121.999,audio_features,51dkS4zglcRYkPiWBDZSic,spotify:track:51dkS4zglcRYkPiWBDZSic,https://api.spotify.com/v1/tracks/51dkS4zglcRYkPiWBDZSic,https://api.spotify.com/v1/audio-analysis/51dkS4zglcRYkPiWBDZSic,225932.0,4.0
No Surprises,Radiohead,15258486,alternative rock,0.255,0.393,5.0,-10.654,1.0,0.0278,0.0577,0.00361,0.113,0.118,76.426,audio_features,10nyNJ6zNy2YVYLrcwLccB,spotify:track:10nyNJ6zNy2YVYLrcwLccB,https://api.spotify.com/v1/tracks/10nyNJ6zNy2YVYLrcwLccB,https://api.spotify.com/v1/audio-analysis/10nyNJ6zNy2YVYLrcwLccB,229120.0,4.0
No Time for Caution,Hans Zimmer,4044955,german soundtrack,0.262,0.224,9.0,-20.231,0.0,0.0463,0.0545,0.95,0.118,0.0388,119.715,audio_features,5aaXqH8rgKZxg61HjECldi,spotify:track:5aaXqH8rgKZxg61HjECldi,https://api.spotify.com/v1/tracks/5aaXqH8rgKZxg61HjECldi,https://api.spotify.com/v1/audio-analysis/5aaXqH8rgKZxg61HjECldi,246272.0,4.0
No Wind Resistance SPED UP!,Kinneret,8970,sped up,0.728,0.559,4.0,-11.18,0.0,0.046,0.246,0.298,0.293,0.489,110.423,audio_features,4UsLaffcP013Gy8SSSTAsq,spotify:track:4UsLaffcP013Gy8SSSTAsq,https://api.spotify.com/v1/tracks/4UsLaffcP013Gy8SSSTAsq,https://api.spotify.com/v1/audio-analysis/4UsLaffcP013Gy8SSSTAsq,165333.0,5.0
Nobody Else,Low Roar,375449,icelandic indie,0.345,0.33,8.0,-13.089,1.0,0.0367,0.198,0.881,0.0943,0.078,159.492,audio_features,2HHu1fK5BNvg16uzOJJcPf,spotify:track:2HHu1fK5BNvg16uzOJJcPf,https://api.spotify.com/v1/tracks/2HHu1fK5BNvg16uzOJJcPf,https://api.spotify.com/v1/audio-analysis/2HHu1fK5BNvg16uzOJJcPf,297440.0,4.0
Nobody Loves Me Like You,Low Roar,5908497,icelandic indie,0.331,0.422,7.0,-10.653,1.0,0.0311,0.692,0.729,0.107,0.105,79.951,audio_features,21jx7ZJ9bH0xQugaPa1wG0,spotify:track:21jx7ZJ9bH0xQugaPa1wG0,https://api.spotify.com/v1/tracks/21jx7ZJ9bH0xQugaPa1wG0,https://api.spotify.com/v1/audio-analysis/21jx7ZJ9bH0xQugaPa1wG0,355893.0,4.0
Nobody Speak,DJ Shadow,9822125,downtempo,0.618,0.814,2.0,-5.937,1.0,0.157,0.0403,0.00236,0.263,0.301,160.078,audio_features,7Gc9OoiYsUrByC8tzD7kYY,spotify:track:7Gc9OoiYsUrByC8tzD7kYY,https://api.spotify.com/v1/tracks/7Gc9OoiYsUrByC8tzD7kYY,https://api.spotify.com/v1/audio-analysis/7Gc9OoiYsUrByC8tzD7kYY,195966.0,4.0
Nobody's Listening,Linkin Park,12260,alternative metal,0.502,0.831,2.0,-3.723,1.0,0.295,0.105,1.3e-06,0.174,0.451,199.972,audio_features,6O8Fqxnk5OlOivJHklfkPZ,spotify:track:6O8Fqxnk5OlOivJHklfkPZ,https://api.spotify.com/v1/tracks/6O8Fqxnk5OlOivJHklfkPZ,https://api.spotify.com/v1/audio-analysis/6O8Fqxnk5OlOivJHklfkPZ,178867.0,3.0
Nobody's Perfect,Hannah Montana,104829,pop,0.594,0.977,10.0,-4.193,0.0,0.0647,0.0597,3.49e-06,0.309,0.793,131.98,audio_features,7c223RltkvhN8wrxIqspM5,spotify:track:7c223RltkvhN8wrxIqspM5,https://api.spotify.com/v1/tracks/7c223RltkvhN8wrxIqspM5,https://api.spotify.com/v1/audio-analysis/7c223RltkvhN8wrxIqspM5,200827.0,4.0
"Nocturne en Mi Bémol Majeur, Op. 9 No. 2",Frédéric Chopin,19527,classical,0.427,0.0451,3.0,-24.698,1.0,0.041,0.99,0.913,0.112,0.0707,119.78,audio_features,7n92QzQomRCLlciO14X0kd,spotify:track:7n92QzQomRCLlciO14X0kd,https://api.spotify.com/v1/tracks/7n92QzQomRCLlciO14X0kd,https://api.spotify.com/v1/audio-analysis/7n92QzQomRCLlciO14X0kd,268427.0,3.0
Noise,The Neighbourhood,200030,modern alternative rock,0.625,0.85,6.0,-3.776,0.0,0.0294,0.0164,0.339,0.105,0.736,108.997,audio_features,2Wj1cS0hUzWrQPzYgZJj94,spotify:track:2Wj1cS0hUzWrQPzYgZJj94,https://api.spotify.com/v1/tracks/2Wj1cS0hUzWrQPzYgZJj94,https://api.spotify.com/v1/audio-analysis/2Wj1cS0hUzWrQPzYgZJj94,200467.0,4.0
Normal,Sasha Alex Sloan,192224,alt z,0.749,0.419,5.0,-9.41,1.0,0.0719,0.528,7.85e-06,0.113,0.279,120.166,audio_features,64sp7I8wf70B7OLOpih6XJ,spotify:track:64sp7I8wf70B7OLOpih6XJ,https://api.spotify.com/v1/tracks/64sp7I8wf70B7OLOpih6XJ,https://api.spotify.com/v1/audio-analysis/64sp7I8wf70B7OLOpih6XJ,192200.0,4.0
Normal - stripped,Sasha Alex Sloan,197810,alt z,0.68,0.413,5.0,-9.644,1.0,0.0464,0.776,1.91e-05,0.0979,0.276,114.931,audio_features,1UulxT6brbUPHnU86RyOah,spotify:track:1UulxT6brbUPHnU86RyOah,https://api.spotify.com/v1/tracks/1UulxT6brbUPHnU86RyOah,https://api.spotify.com/v1/audio-analysis/1UulxT6brbUPHnU86RyOah,197687.0,4.0
Normal No More,TYSM,52122,,0.773,0.533,7.0,-8.536,1.0,0.0481,0.545,0.000974,0.11,0.185,95.029,audio_features,460WMeltK2dxce4qhcaCF7,spotify:track:460WMeltK2dxce4qhcaCF7,https://api.spotify.com/v1/tracks/460WMeltK2dxce4qhcaCF7,https://api.spotify.com/v1/audio-analysis/460WMeltK2dxce4qhcaCF7,199579.0,4.0
North Memphis,Pharmacist,407449,drift phonk,0.716,0.942,1.0,-6.116,1.0,0.0565,0.000136,0.836,0.0663,0.899,167.371,audio_features,0SzDVyiiUDpuhzrphnoejr,spotify:track:0SzDVyiiUDpuhzrphnoejr,https://api.spotify.com/v1/tracks/0SzDVyiiUDpuhzrphnoejr,https://api.spotify.com/v1/audio-analysis/0SzDVyiiUDpuhzrphnoejr,135827.0,4.0
Not Allowed,TV Girl,181367,pov: indie,0.67,0.905,1.0,-6.855,1.0,0.129,0.669,0.000227,0.349,0.563,104.965,audio_features,3IznIgmXtrUaoPWpQTy5jB,spotify:track:3IznIgmXtrUaoPWpQTy5jB,https://api.spotify.com/v1/tracks/3IznIgmXtrUaoPWpQTy5jB,https://api.spotify.com/v1/audio-analysis/3IznIgmXtrUaoPWpQTy5jB,167864.0,4.0
Not Angry,Chris James,12401796,singer-songwriter pop,0.853,0.314,5.0,-12.418,0.0,0.065,0.646,0.000211,0.107,0.679,123.974,audio_features,720bDWggHx9KL3TzKZeM1c,spotify:track:720bDWggHx9KL3TzKZeM1c,https://api.spotify.com/v1/tracks/720bDWggHx9KL3TzKZeM1c,https://api.spotify.com/v1/audio-analysis/720bDWggHx9KL3TzKZeM1c,199687.0,4.0
Not Around,Low Roar,8519,icelandic indie,0.378,0.242,2.0,-16.962,1.0,0.0317,0.674,0.537,0.0864,0.0744,158.085,audio_features,0qry3pWZs2knaCZFlKUkTF,spotify:track:0qry3pWZs2knaCZFlKUkTF,https://api.spotify.com/v1/tracks/0qry3pWZs2knaCZFlKUkTF,https://api.spotify.com/v1/audio-analysis/0qry3pWZs2knaCZFlKUkTF,315636.0,3.0
Not Into You,Brooksie,3201291,,0.641,0.678,3.0,-4.943,1.0,0.0355,0.221,0.573,0.279,0.495,100.035,audio_features,1eFYbcVZBTKcE0iFIYU5qk,spotify:track:1eFYbcVZBTKcE0iFIYU5qk,https://api.spotify.com/v1/tracks/1eFYbcVZBTKcE0iFIYU5qk,https://api.spotify.com/v1/audio-analysis/1eFYbcVZBTKcE0iFIYU5qk,157800.0,4.0
Not Ok - Frank Walker Remix,Kygo,1258037,edm,0.679,0.866,2.0,-3.754,1.0,0.0566,0.0337,0.0,0.0688,0.441,121.927,audio_features,6VP3410weACXiPCVLKSkOb,spotify:track:6VP3410weACXiPCVLKSkOb,https://api.spotify.com/v1/tracks/6VP3410weACXiPCVLKSkOb,https://api.spotify.com/v1/audio-analysis/6VP3410weACXiPCVLKSkOb,183934.0,4.0
Not Sad Anymore,Clara Mae,6800028,alt z,0.675,0.523,1.0,-7.598,1.0,0.0444,0.761,3.17e-06,0.109,0.376,94.025,audio_features,1AHa2iLVTyjMisXwg0oMh1,spotify:track:1AHa2iLVTyjMisXwg0oMh1,https://api.spotify.com/v1/tracks/1AHa2iLVTyjMisXwg0oMh1,https://api.spotify.com/v1/audio-analysis/1AHa2iLVTyjMisXwg0oMh1,195564.0,4.0
Not Today,Unlike Pluto,3666179,,0.61,0.688,6.0,-6.283,0.0,0.0559,0.195,0.0,0.0833,0.642,156.138,audio_features,3a1saCvyI5R3x8ytAQXxKs,spotify:track:3a1saCvyI5R3x8ytAQXxKs,https://api.spotify.com/v1/tracks/3a1saCvyI5R3x8ytAQXxKs,https://api.spotify.com/v1/audio-analysis/3a1saCvyI5R3x8ytAQXxKs,181538.0,4.0
